"","score","text"
"38",0,"Redmi 5 Price Leaked, Snapdragon 845 Unveiled, #Airtel Rs. 349 Plan Updated, and More: Your… https://t.co/r4vuBbxqa6 https://t.co/S8yGPnrqCV"
"39",0,"Redmi 5 Price Leaked, Snapdragon 845 Unveiled, #Airtel Rs. 349 Plan Updated, and More: Your… https://t.co/r4vuBbxqa6"
"40",0,"#airterpostpaid After calling multiple times to customer care...there is no solution.
I have opted for 199 plan and… https://t.co/Fux1wCnfdc"
"41",1,"Airtel Rs 149 Plan Now Offers Unlimited Outgoing Roaming Calls - But There's A Catch!
https://t.co/sSWdgUD0DF… https://t.co/AiMnF7K3T5"
"42",1,"Airtel Rs 149 Plan Now Offers Unlimited Outgoing Roaming Calls - But There's A Catch!
https://t.co/hC5t9xmyk5… https://t.co/ZYVJfIOhBz"
"43",1,"Airtel Rs 149 Plan Now Offers Unlimited Outgoing Roaming Calls - But There's A Catch!
https://t.co/4KcmHyiABl… https://t.co/sSFQ9RZDrq"
"44",0,"RT @PTTVOnlineNews: <U+0B8F><U+0BB0><U+0BCD><U+0B9F><U+0BC6><U+0BB2><U+0BCD><U+0BB2><U+0BBF><U+0BA9><U+0BCD> <U+0BB0><U+0BC2>.399 <U+0BA4><U+0BBF><U+0B9F><U+0BCD><U+0B9F><U+0BA4><U+0BCD><U+0BA4><U+0BBF><U+0BB2><U+0BCD> <U+0BAE><U+0BBE><U+0BB1><U+0BCD><U+0BB1><U+0BAE><U+0BCD>!
https://t.co/kCWgT3eIIt #Airtel"
"45",0,"<U+0B8F><U+0BB0><U+0BCD><U+0B9F><U+0BC6><U+0BB2><U+0BCD><U+0BB2><U+0BBF><U+0BA9><U+0BCD> <U+0BB0><U+0BC2>.399 <U+0BA4><U+0BBF><U+0B9F><U+0BCD><U+0B9F><U+0BA4><U+0BCD><U+0BA4><U+0BBF><U+0BB2><U+0BCD> <U+0BAE><U+0BBE><U+0BB1><U+0BCD><U+0BB1><U+0BAE><U+0BCD>!
https://t.co/kCWgT3eIIt #Airtel"
"46",1,"#Airtel Rs. 399 #Prepaid Pack Now Offers 1GB Data Per Day for 84 Days: Airtel has upgraded… https://t.co/phIWABdJC1"
"47",0,"#Airtel revises Rs 399 pack again, now offers 84GB data https://t.co/AWGfmUnQ87 https://t.co/e2m0RfBwiF"
"48",0,"#Airtel Rs. 399 #Prepaid Pack Now Offers 1GB Data Per Day for 84 Days: (adsbygoogle =… https://t.co/u47pOSXrse"
"49",0,"#Jio <U+0915><U+0947> <U+091C><U+0935><U+093E><U+092C> <U+092E><U+0947><U+0902> #Airtel <U+0915><U+093E> <U+0928><U+092F><U+093E> <U+0927><U+092E><U+093E><U+0915><U+093E>, 399 <U+0930><U+0941>. <U+092E><U+0947><U+0902> 84GB <U+0921><U+093E><U+091F><U+093E> https://t.co/okRoY43bGm #<U+091F><U+0915><U+0928><U+0932><U+091C> #offer"
"50",0,"#Jio <U+0915><U+0947> <U+091C><U+0935><U+093E><U+092C> <U+092E><U+0947><U+0902> #Airtel <U+0915><U+093E> <U+0928><U+092F><U+093E> <U+0927><U+092E><U+093E><U+0915><U+093E>, 399 <U+0930><U+0941>. <U+092E><U+0947><U+0902> 84GB <U+0921><U+093E><U+091F><U+093E> -
https://t.co/I1KHmK0JBR 
#Offer https://t.co/EEggiLUNWX"
"51",0,"Buy #Airtel #Broadband #Plans in #Chandigarh https://t.co/Z7E82TV3he https://t.co/XKXDByhU7T"
"52",-1,"@PRIYARD UIDAI only shares API with telco’s via which they can authenticate users. Then what software glitch ? #airtel"
"53",-1,"#SHOCKED: #Unseen And #Private #Photos Of #Airtel #Girl #SashaChettri
Read More : https://t.co/VKLrz1pXvk https://t.co/NEbvic9DSg"
"54",0,"@premperspective Dear Airtel customers, Airtel found a new way to develop business by looting customers. Please cro… https://t.co/P9nImLlEAr"
"55",0,"#Airtel <U+0A28><U+0A47> <U+0A06><U+0A2A><U+0A23><U+0A47> <U+0A07><U+0A38> <U+0A2A><U+0A32><U+0A3E><U+0A28> '<U+0A1A> <U+0A15><U+0A40><U+0A24><U+0A3E> <U+0A2C><U+0A26><U+0A32><U+0A3E><U+0A05>, <U+0A2E><U+0A3F><U+0A32><U+0A47><U+0A17><U+0A3E> 84GB <U+0A21><U+0A3E><U+0A1F><U+0A3E> https://t.co/R0Dmr2lFvU
@airtelindia https://t.co/0GBT6g1WV1"
"56",-2,"@AirtelIndia bad customer support. Trying 2 resolve issue since Jan 7. Broadband Account incorrectly billed for Rs.… https://t.co/OY0rAnQB86"
"57",0,"This how @Airtel_Presence respond you on #Twitter #Airtel #airtelsucks @airtelindia https://t.co/fxeXDxQEfl"
"58",0,"Airtel Rs. 399 Prepaid Pack Now Offers 1GB Data Per Day for 84 Days
#india #airtel #relianceJio"
"59",0,"Wynk Music crosses over 75 mn downloads 

https://t.co/xoroRtFEUj

#Technology #Smartphone #Airtel https://t.co/kweDteJwfP"
"60",0,"Wynk Music crosses over 75 mn downloads 

https://t.co/xoroRtFEUj

#Technology #Smartphone #Airtel https://t.co/bNvIzfgos2"
"61",1,"“How To Activate And Subscribe To Airtel 1GB For N500 – Best Data Plan In 2018” https://t.co/SHjOkAa8jf
#HowTo… https://t.co/WV9SVNlsjQ"
"62",1,"#Airtel Rs. 399 #Prepaid Pack Now Offers 1GB Data Per Day for 84 Days: Airtel has upgraded… https://t.co/B5DsZG26na https://t.co/JTESdAI7n9"
"63",0,"<U+090F><U+092F><U+0930><U+091F><U+0947><U+0932> <U+0915><U+0947> <U+0907><U+0938> <U+0911><U+092B><U+0930> <U+0928><U+0947> <U+091C><U+093F><U+092F><U+094B> <U+0915><U+0940> <U+0909><U+0921><U+093C><U+093E><U+0908> <U+0928><U+0940><U+0902><U+0926>, <U+092E><U+093F><U+0932><U+0947><U+0917><U+093E> 28 <U+0917><U+0941><U+0928><U+093E> <U+0905><U+0924><U+093F><U+0930><U+093F><U+0915><U+094D><U+0924> <U+0921><U+0947><U+091F><U+093E>

https://t.co/WomOZBoGD6

#RepublicDay2018… https://t.co/N2uiFPPIYx"
"64",1,"#Airtel Rs. 399 #Prepaid Pack Now Offers 1GB Data Per Day for 84 Days: Airtel has upgraded… https://t.co/B5DsZG26na"
"65",0,"Airtel Sistemi antifurto hi-tech
#Airtel #Sistemiantifurto #QuintodiTreviso https://t.co/xlfkWUpKWo"
"66",0,"Airtel 399 Plan now Offer More Data and Validity
#airtel #Airtel4G #tech #news #technology #smartphones 

https://t.co/MqyMoSRPap"
"67",1,"Entamons la semaine avec des ondes positives grâce à cette citation. <ed><U+00A0><U+00BD><ed><U+00B8><U+0089> #Airtel #Gabon https://t.co/TtZRP6ksik"
"68",-1,"Pathetic service by #Airtel. SIM gets deactivated suddenly, customer care has no clue. All stores closed on Sunday,… https://t.co/S0CZmnSpRE"
"69",1,"Fresh test for #M-Pesa in #Airtel, #Safaricom cash transfer deal https://t.co/f2OEwEE0Ey https://t.co/aD3YIjJz0Y"
"70",0,"#BigNews360 RT Ikesari0001: <U+091C><U+093F><U+092F><U+094B> <U+0915><U+094B> <U+091F><U+0915><U+094D><U+0915><U+0930> <U+0926><U+0947><U+0928><U+0947> <U+0915><U+0947> <U+0932><U+093F><U+090F> <U+090F><U+092F><U+0930><U+091F><U+0947><U+0932> <U+0928><U+0947> <U+0905><U+092A><U+0928><U+0947> <U+0907><U+0938> <U+092A><U+094D><U+0932><U+093E><U+0928> <U+092E><U+0947><U+0902> <U+0915><U+093F><U+092F><U+093E> <U+092C><U+0926><U+0932><U+093E><U+0935>… https://t.co/EyFzh1uWXv"
"71",0,"RT @Ikesari0001: <U+091C><U+093F><U+092F><U+094B> <U+0915><U+094B> <U+091F><U+0915><U+094D><U+0915><U+0930> <U+0926><U+0947><U+0928><U+0947> <U+0915><U+0947> <U+0932><U+093F><U+090F> <U+090F><U+092F><U+0930><U+091F><U+0947><U+0932> <U+0928><U+0947> <U+0905><U+092A><U+0928><U+0947> <U+0907><U+0938> <U+092A><U+094D><U+0932><U+093E><U+0928> <U+092E><U+0947><U+0902> <U+0915><U+093F><U+092F><U+093E> <U+092C><U+0926><U+0932><U+093E><U+0935> https://t.co/iXuYKGUDt1 #Jio #Airtel .@airtelindia https:…"
"72",0,"<U+091C><U+093F><U+092F><U+094B> <U+0915><U+094B> <U+091F><U+0915><U+094D><U+0915><U+0930> <U+0926><U+0947><U+0928><U+0947> <U+0915><U+0947> <U+0932><U+093F><U+090F> <U+090F><U+092F><U+0930><U+091F><U+0947><U+0932> <U+0928><U+0947> <U+0905><U+092A><U+0928><U+0947> <U+0907><U+0938> <U+092A><U+094D><U+0932><U+093E><U+0928> <U+092E><U+0947><U+0902> <U+0915><U+093F><U+092F><U+093E> <U+092C><U+0926><U+0932><U+093E><U+0935> https://t.co/iXuYKGUDt1 #Jio #Airtel .@airtelindia https://t.co/bFvr21ajJk"
"73",0,"Quelle a été votre occupation du weekend ? Nous vous souhaitons une excellente semaine. #Airtel #Congo https://t.co/KhbNOETap8"
"74",-1,"HOW TO RETRIVE YOUR LOST #AIRTEL SIM https://t.co/aPJzaF74m6 #RecentHacks"
"75",0,"Department of Telecom (@DoT_India )has asked Telecom Regulator TRAI to investigate the Mobile Service License condi… https://t.co/DDkbuDxF4g"
"76",-1,"Airtel to face cash flow issues to fund large Capex requirements? https://t.co/KV5UVN5U0E #Airtel #Airtel #telecom"
"77",-1,"DoT has asked #TRAI to investigate license conditions violation by #Airtel, Vodafone and Idea Cellular by playing p… https://t.co/MipAfSHMJZ"
"78",0,"Update: @WynkMusic, the music application from #Airtel India announced that it has crossed 75 million app installat… https://t.co/NbLIV2Upf5"
"79",0,"Wynk Music crosses over 75 mn downloads
@WynkMusic @Airtel_Presence
#WynkMusic #Airtel  #SameerBatra #Tamil… https://t.co/Mcn2I9yVyM"
"80",-2,"@Airtel_Presence unable to make any call in peak hour. How many times should I have to ask you to resolve the issue… https://t.co/VfvTrx0nFa"
"81",0,"#TRAI Do you ever check service quality what #airtel or any other service providers giving??bus bandwidth becho and… https://t.co/x0JUV0Zt0L"
"82",0,"RT @FinancialXpress: #Airtel customer? New data and calling offers have been revealed https://t.co/bSQFwPmyd8"
"83",0,"Airtel <U+0C2A><U+0C4D><U+0C32><U+0C3E><U+0C28><U+0C4D><U+0C32><U+0C32><U+0C4B> <U+0C2E><U+0C3E><U+0C30><U+0C4D><U+0C2A><U+0C41><U+0C32><U+0C41>, <U+0C1C><U+0C3F><U+0C2F><U+0C4B> <U+0C30><U+0C42>.399, <U+0C30><U+0C42>.149<U+0C15><U+0C3F> <U+0C17><U+0C1F><U+0C4D><U+0C1F><U+0C3F> <U+0C2A><U+0C4B><U+0C1F><U+0C40> https://t.co/cbPgATMhrE #news #technology #mobiles… https://t.co/z3JTGod7HW"
"84",0,"Airtel <U+0C2A><U+0C4D><U+0C32><U+0C3E><U+0C28><U+0C4D><U+0C32><U+0C32><U+0C4B> <U+0C2E><U+0C3E><U+0C30><U+0C4D><U+0C2A><U+0C41><U+0C32><U+0C41>, <U+0C1C><U+0C3F><U+0C2F><U+0C4B> <U+0C30><U+0C42>.399, <U+0C30><U+0C42>.149<U+0C15><U+0C3F> <U+0C17><U+0C1F><U+0C4D><U+0C1F><U+0C3F> <U+0C2A><U+0C4B><U+0C1F><U+0C40> https://t.co/kNZNesVJew #news #technology #mobiles… https://t.co/YafkB0NQFo"
"85",1,"RT @Nidhibh28539919: Duniya ka fastest network #Airtel.....
.
Meri aapse hath jod k gujarish h k tumhe agr <U+092A><U+0939><U+093E><U+0921><U+093C><U+094B><U+0902>,<U+092A><U+0930><U+094D><U+0935><U+0924><U+094B><U+0902>,<U+0914><U+0930> <U+091C><U+0902><U+0917><U+0932><U+094B><U+0902> <U+092E><U+0947><U+0902> <U+091C><U+093E>…"
"86",-1,"@Airtel_Presence Facing issues with First time recharge after converting my Airtel number from Postpaid to Prepaid… https://t.co/VC38Lns8LB"
"87",-1,"@airtelindia Facing issues with First time recharge after converting my Airtel number from Postpaid to Prepaid… https://t.co/vJ2PsSi3Vv"
"88",2,"@Airtel_Presence You people are assuring for fair resolution from last 15 days. I don't think you are serious for c… https://t.co/GmJ70Qf7Pf"
"89",0,"#TechNews #Airtel revises Rs 149, Rs 399 prepaid plans to offer extra validity, 1GB data daily
#Prepaid #Airtel4G… https://t.co/XeKLy9a0Wx"
"90",-1,"Fuck bharti Airtel customer care not resolved my problems
#Airtel  #Airtel4G"
"91",-3,"@Airtel_Presence #Airtel broadband service is worst service I am using 15 complaints in a row for same problem ever… https://t.co/p61DjNGTJ3"
"92",0,"#Airtel revises Rs 149, Rs 399 prepaid plans to offer extra validity, 1GB data daily
#Prepaid #Airtel4G… https://t.co/GYDLxg1uJT"
"93",0,"@DanishKh4n Everyday is holiday at #airtel. Just tell them you are interested in a new postpaid connection and then… https://t.co/m0z3javTXg"
"94",0,"RT @pateldipesh: #Airtel postpaid plans now offers rental discounts for six months. https://t.co/67tf0odGBl"
"95",0,"The world's most shittiest network is @airtelindia. There are 2 mobile towers around my house and I still don't get… https://t.co/0PnvXzJTb7"
"96",-1,"@Airtel_Presence - Would you even bother to take a look at this? Or should I look at an alternative service provide… https://t.co/WjO8ZCqUdO"
"97",1,"RT @News18Bengali: #Airtel revises Rs 149 prepaid plan with unlimited calls, 1GB data for 28 days
https://t.co/QnH6xGUAE8"
"98",0,"was looking for #Broadband in #dwarka. filled contact form for @excitel_rocks &amp; @airtelindia. #Airtel called back i… https://t.co/A8NyjxrYuD"
"99",0,"Channels not present on #AirtelTV #TimesNow #TimesNowHD #StarSports #StarSportsSelectHD #NewsX other paid channels… https://t.co/CA86JnNdzC"
"100",0,"#Airtel #airtel4g #airtelmoney #airteltv"
"101",1,"#Airtel revises Rs 149 prepaid plan with unlimited calls, 1GB data for 28 days
https://t.co/QnH6xGUAE8"
"102",2,"We have successfully arranged #event for a number of #topbrands like #Hike, #Intel, #HDFCBank, #BSNL, #Airtel,… https://t.co/UX6HEFvGmg"
"103",0,"Is #Airtel internet down today? @airtelindia"
"104",-2,"Dear #Airtel! Don’t blame me! Blame the network! <ed><U+00A0><U+00BD><ed><U+00B8><U+009D> I’m attempting to pay the bill https://t.co/Gdf13U0ewp"
"105",-1,"Another joke from #Airtel #AirtelIndia yesterday received the call that we have reset the network for u or somethin… https://t.co/r6nW0X2eaV"
"106",0,"RT @expresstechie: #RelianceJio vs #Airtel: Rs 149 prepaid recharge plan compared
https://t.co/GaMACiJL52"
"107",-1,"@airtelindia Jio giving such tough competition that you are resorting to fake bills to extort money from customers?… https://t.co/3675USvb0v"
"108",0,"#Airtel customer? New data and calling offers have been revealed https://t.co/bSQFwPmyd8"
"109",-1,"Worst network airtel 4g in noida. #Airtel #Airtel4g"
"110",-1,"My airtel app and USSD both are failed in providing real time update on data consumption. @airtelindia… https://t.co/y16mhPRdOy"
"111",2,"@mmbharti @Airtel_Presence well you are right upto extents.Frustration is synonym of #airtel"
"112",0,"#RelianceJio vs #Airtel: Rs 149 prepaid recharge plan compared
https://t.co/GaMACiJL52"
"113",-1,"In an era of #digitalisation #connectivity #highspeed #wifi #4G #telecom struggling in all fronts. #calldrop has be… https://t.co/tujQWcDJQO"
"114",0,"RT @shashi6454: #Airtel-Run-O-than @amarbauri @cmojhr @dasraghubar https://t.co/WIRZYuPUIf"
"115",-1,"@Airtel_Presence DTH charged me &amp; neighbors INR 150 for a technician visit that was due to a common network issue.… https://t.co/Byp6sFSTPl"
"116",0,"RT @expresstechie: #Airtel Rs 149 prepaid plan revised: Here's what has changed
https://t.co/yiCFZZABU5"
"117",1,"@gopalvittal @Airtel_Presence @airtelindia @MukeshAmbaniJio @VodafoneIN Do u need years to upgrade. #jio #Vodafone… https://t.co/QsMKQb85Oj"
"118",0,"#Airtel Rs 149 prepaid plan revised: Here's what has changed
https://t.co/yiCFZZABU5"
"119",1,"@Airtel_Presence Finally u reply! I cud hav DM'd this,but this is better. Q-how come #airtel is now able to provide… https://t.co/oTiFpT3rtI"
"120",-1,"@airtelindia @Airtel_Presence #Airtel Very bad costumer service when u clear my network issue reference no : 82578458"
"121",1,"This is how Airtel works in Hyderabad #opennetwork #Airtel #4Gspeed https://t.co/45GeN0EOBR"
"122",-1,"@DoT_India Pls refer the cabinet secretariat complaint DPG/T/2017/82113 which is pertaining to frequent BTS outage… https://t.co/xJDDBGzUPN"
"123",-1,"#Airtel In last 3 days I have lost more then Rs.150 every day I found your new service activated automatically."
"124",-2,"What the hell is this going... 1st #Vodafone ,the useless network at my room...and now the the largest telecom of i… https://t.co/qgCEO6ijxO"
"125",0,"#Airtel  I am really frusted your service activations https://t.co/HqzoJfPNGT"
"126",-3,"#Airtel seems to be going from bad to worse, absolutely no signal in noida area and if you complain they say we hav… https://t.co/1Da5t8mt7l"
"127",0,"RT @Airtel_GA: As-tu fait une grasse matinée aujourd'hui ? <ed><U+00A0><U+00BD><ed><U+00B8><U+0084>
Excellent repos dominical. #Airtel #Gabon https://t.co/1aGTeUQcmy"
"128",-1,"@airtelindia  NO INTERNET! I'm wasting my time on your App and #121 for 3 hours! #Airtel has #monopoly on my colony… https://t.co/wXdlFOfNjG"
"129",1,"@mathewmancha #airtel #broadband is down in bangalore as well"
"130",0,"RT @Bill_Ams: @MonsieurCey Je pense aussi qu’avant toute éducation en matière d’Internet, il faudrait que @MTN_123 #Airtel baissent les pri…"
"131",0,"@MonsieurCey Je pense aussi qu’avant toute éducation en matière d’Internet, il faudrait que @MTN_123 #Airtel baisse… https://t.co/YG6lsbiBGq"
"132",-1,"@airtelindia @Airtel_Presence Waiting for the last 72 hrs to get my replaced sim card activated. No help from 121.… https://t.co/xyTo2hJ3lv"
"133",0,"I have heard of power outage, but it is not everyday that you hear about broadband outage?? What happened?? #Airtel… https://t.co/eAlyT9BdnJ"
"134",-1,"@Airtel_Presence Anamika

#AirTel BB network down in 560075, Sadashivnagar area of #Bengaluru.

Much frustration."
"135",0,"#airtel"
"136",0,"#airtel #hotspot #hotspots #4g #4glte #jio #mobile #internet #dongle #dongles @ IIT Kanpur https://t.co/YpvKPDej0u"
"137",0,"GIGA POMBA ! Bénéficiez de plus de volume d'internet au même prix avec plus de temps de connexion. N'attendez plus,… https://t.co/lEdmJLXvTY"
"138",0,"@PRIYARD @Airtel_Presence @airtelindia @UIDAI Did they told you the numbers and name of those #airtel connections ?… https://t.co/B9LkrxnaZa"
"139",2,"#Airtel #Malawi launches 4G network for faster and better data connectivity https://t.co/gv1pXhDALc"
"140",0,"Félicitations aux Diables Rouges qui sont directement qualifiés en quarts de finale suite à leur victoire 2-0 face… https://t.co/eAHiiSIMdn"
"141",-1,"Are my tweet ignoring or just not a single  person on #Airtel to acknowledging my previous tweet about my issues. Thanks @airtelindia"
"142",-1,"@airtelindia  Please play #Airtel 4G challenging add now. I am waiting.... BSNL 2G is much more better than ur's."
"143",1,"@Airtel_Presence not happy with the customer care service.... need help on my bill explanation #poorservice #airtel"
"144",-1,"@airtelindia @Airtel_Presence .
This is what you get from @airtelindia  even after continuously complaining them fo… https://t.co/pptvnZmTK4"
"145",0,"@Airtel_Presence this is the network speed of #airtel4g #Shameless #Airtel. Please upgrade the network asap. https://t.co/hCsu8WN0wh"
"146",1,"Fresh test for M-Pesa in #cash transfers with Airtel  https://t.co/ArUiR7JJCT via @BD_Africa #mpesa #mobile #money #airtel"
"147",-1,"2/2 jisme ap pure 3 din 4g speed prapt karte hain, or baaki ke 81 din #Airtel apko paresan karta hai.
Agar aap koi… https://t.co/QK9qXNxde4"
"148",-1,"RT @DasSubhendu16: This is what we get always as #Airtel user. 
@Airtel_Presence @airtelindia 
It's sickening !! https://t.co/d9Tiv6d049"
"149",0,"1/2 #Airtel...Bharat ki sabse haramkhor company me apka swagat hai,
Ab ap apne pese ki barbadi, mentally torcher or… https://t.co/9prG7wYMqc"
"150",0,"RT @MuntazirAbbas: Bharti Airtel acquires Econet’s 4.2% stake in Airtel Nigeria | #ETTelecom  https://t.co/x0pK4Xl89F #Airtel #Econet #Nige…"
"151",3,"A super fast smartphone needs a super fast network. So I've chosen AIRTEL... which was a disappointing move by me.… https://t.co/sufQzzxjW1"
"152",1,"@Airtel_Presence fastest network for a reason will be porting any suggestions?? #airtel https://t.co/uWj6GYUNnP"
"153",-1,"Time to leave #airtel 
Men you sucks"
"154",0,"@Airtel_Presence #Airtel ke BOT ji, aapki reply ke liye mera number kab aayega. Aap pahle bina padhe aur bina samaj… https://t.co/hhnvGMrAF3"
